PK,DataDiRiferimento,Macrozona,SbilAggregatoZonale[MWh],SegnoAggregatoZonale,Scambi[MWh],Estero[MWh],LoadingSliceDate,SliceDate
MjIvMTAvMjAyNCAxNToxNXxOT1JE,22/10/2024 15:15,NORD,101.2090000000,+,-333.2510000000,1060.9580000000,20250203,20250203
MjIvMTAvMjAyNCAwODo0NXxTVUQ=,22/10/2024 08:45,SUD,-5.1670000000,-,289.1590000000,146.8320000000,20250203,20250203
MjIvMTAvMjAyNCAwNTozMHxOT1JE,22/10/2024 05:30,NORD,29.2200000000,+,-589.8590000000,1284.9280000000,20250203,20250203
MjIvMTAvMjAyNCAwMjozMHxOT1JE,22/10/2024 02:30,NORD,-33.4380000000,-,-554.4600000000,1288.0070000000,20250203,20250203
MjIvMTAvMjAyNCAxOTozMHxTVUQ=,22/10/2024 19:30,SUD,-97.6920000000,-,942.7120000000,-191.4950000000,20250203,20250203
MjIvMTAvMjAyNCAyMjoxNXxTVUQ=,22/10/2024 22:15,SUD,19.4370000000,+,845.6300000000,115.7120000000,20250203,20250203
MjIvMTAvMjAyNCAyMjoxNXxOT1JE,22/10/2024 22:15,NORD,-37.8750000000,-,-845.6300000000,1318.6020000000,20250203,20250203
MjIvMTAvMjAyNCAwMjowMHxOT1JE,22/10/2024 02:00,NORD,-16.5180000000,-,-570.4020000000,1268.4440000000,20250203,20250203
MjIvMTAvMjAyNCAwNzowMHxTVUQ=,22/10/2024 07:00,SUD,33.4870000000,+,676.3120000000,-171.8850000000,20250203,20250203
MjIvMTAvMjAyNCAxNjo0NXxTVUQ=,22/10/2024 16:45,SUD,-313.3000000000,-,598.6760000000,70.6900000000,20250203,20250203
MjIvMTAvMjAyNCAwMzowMHxOT1JE,22/10/2024 03:00,NORD,-19.7750000000,-,-522.0210000000,1201.1160000000,20250203,20250203
MjIvMTAvMjAyNCAwNDowMHxTVUQ=,22/10/2024 04:00,SUD,36.9230000000,+,527.1310000000,237.3280000000,20250203,20250203
MjIvMTAvMjAyNCAyMjozMHxTVUQ=,22/10/2024 22:30,SUD,63.3450000000,+,806.4360000000,119.2830000000,20250203,20250203
MjIvMTAvMjAyNCAxMTozMHxTVUQ=,22/10/2024 11:30,SUD,35.1010000000,+,272.5470000000,228.3460000000,20250203,20250203
